autonomo,num_func,emp_tec,papel_tec,beneficios_mental,conhecimento_opcoes_mental,discussao_formal_mental,recursos_aprendizado_mental,anonimato_protegido,dificuldade_licenca_mental,conforto_conversar_saude,conforto_discutir_supervisor,discussao_saude_mental_emp,conforto_discutir_colegas,discussao_saude_mental_colegas,discussao_saude_mental_colegas_outro,importancia_saude_fisica_emp,importancia_saude_mental_emp,emp_tec_anterior,disposto_discutir_supervisor,disturbio_saude_mental_atual,disturbio_saude_mental_passado,tratamento_profissional_mental,historico_familiar_mental,interferencia_tratamento_eficaz,interferencia_sem_tratamento_eficaz,observacoes_discussao_mental,disposto_compartilhar_amigos_familiares,disposto_apresentar_saude_entrevista,traria_saude_mental_entrevista,identificado_abertamente_mental,reacao_membros_equipe_mental,apoio_setor_tecnologia_mental,idade,genero,ano
1,,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",Maybe,Yes,Yes,,Sometimes,Often,,Yes,Maybe,No,No,1.0,2.0,32.0,F,2018-01-01
0,More than 1000,No,Yes,No,No,No,I don't know,I don't know,Difficult,Same level of comfort for each,No,No,No,No,No,1.0,0.0,,"No, none of my previous supervisors",Yes,Yes,Yes,Yes,Often,Often,Yes,Yes,No,No,No,0.0,1.0,35.0,M,2018-01-01
0,More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,Same level of comfort for each,Yes,No,Maybe,No,Yes,,8.0,,Physical health,Yes,,Yes,Yes,Yes,Rarely,Often,Yes,Yes,,,,,,Other,2018-01-01
0,500-1000,Yes,Yes,No,Yes,No,No,I don't know,Difficult,Physical health,No,No,Maybe,No,No,7.0,6.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Rarely,Often,Yes,Yes,No,No,No,4.0,2.0,31.0,F,2018-01-01
0,100-500,Yes,No,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Physical health,Maybe,No,Yes,Yes,Yes,6.0,8.0,,I don't know,Yes,Possibly,Yes,Yes,Sometimes,Not applicable to me,No,Yes,Maybe,No,No,8.0,3.0,34.0,F,2018-01-01
0,100-500,Yes,Yes,No,No,No,No,I don't know,Difficult,Physical health,No,Yes,No,No,No,0.0,0.0,,Some of my previous supervisors,Maybe,Don't Know,Yes,Yes,Rarely,Often,,Yes,No,No,No,3.0,2.0,30.0,M,2018-01-01
0,More than 1000,Yes,Yes,Yes,Yes,No,No,I don't know,Somewhat easy,Physical health,No,Yes,Maybe,No,No,7.0,2.0,,"No, none of my previous supervisors",Yes,Possibly,Yes,,Rarely,Often,,Yes,No,No,,,,,Other,2018-01-01
0,26-100,Yes,Yes,I don't know,No,No,No,I don't know,Somewhat easy,Same level of comfort for each,Maybe,No,Maybe,Yes,Yes,7.0,7.0,,Some of my previous supervisors,Maybe,Possibly,No,Yes,Not applicable to me,Not applicable to me,No,Yes,No,No,No,7.0,3.0,32.0,M,2018-01-01
0,500-1000,No,Yes,I don't know,No,No,Yes,I don't know,I don't know,Physical health,No,No,No,No,No,9.0,3.0,,"No, none of my previous supervisors",Maybe,No,No,,Not applicable to me,Not applicable to me,No,,Yes,No,No,4.0,2.0,28.0,F,2018-01-01
0,6-25,Yes,Yes,No,Yes,No,No,I don't know,Somewhat easy,Physical health,No,Yes,Yes,Yes,No,5.0,2.0,,Some of my previous supervisors,No,Yes,Yes,Yes,Rarely,Often,Yes,Yes,Yes,Maybe,No,3.0,1.0,28.0,M,2018-01-01
0,500-1000,Yes,Yes,Yes,Yes,No,I don't know,Yes,Neither easy nor difficult,Physical health,No,No,Yes,No,No,7.0,4.0,,"No, none of my previous supervisors",Yes,Possibly,Yes,Yes,Rarely,Often,No,Yes,Maybe,Maybe,No,3.0,2.0,33.0,M,2018-01-01
0,100-500,Yes,Yes,Yes,Yes,Yes,No,Yes,Very easy,Same level of comfort for each,No,Yes,Yes,No,Yes,7.0,6.0,,"No, none of my previous supervisors",Maybe,Don't Know,Yes,,Rarely,Sometimes,No,,No,No,No,6.0,3.0,28.0,F,2018-01-01
0,100-500,Yes,Yes,I don't know,No,No,No,I don't know,I don't know,Physical health,Maybe,Yes,Maybe,Yes,No,5.0,0.0,,Some of my previous supervisors,Yes,,Yes,Yes,Not applicable to me,Often,,Yes,Maybe,No,No,5.0,1.0,28.0,F,2018-01-01
0,26-100,Yes,Yes,I don't know,No,No,I don't know,No,Somewhat easy,Physical health,Yes,No,Maybe,No,Yes,8.0,3.0,,Some of my previous supervisors,No,No,No,No,Not applicable to me,Not applicable to me,Maybe,,Maybe,No,No,4.0,2.0,43.0,M,2018-01-01
0,More than 1000,Yes,Yes,I don't know,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Physical health,Yes,No,Maybe,No,Yes,5.0,5.0,,Some of my previous supervisors,No,No,No,No,Not applicable to me,Not applicable to me,Yes,,Maybe,Maybe,No,4.0,3.0,31.0,F,2018-01-01
0,500-1000,No,Yes,Yes,No,I don't know,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Yes,No,Maybe,No,No,6.0,6.0,,"Yes, all of my previous supervisors",Maybe,No,No,No,Not applicable to me,Not applicable to me,No,Yes,No,No,No,7.0,3.0,40.0,F,2018-01-01
0,More than 1000,No,Yes,Yes,No,No,I don't know,I don't know,Somewhat easy,Physical health,Maybe,No,Maybe,No,No,7.0,4.0,,Some of my previous supervisors,Maybe,No,Yes,,Rarely,Rarely,,,Maybe,No,No,7.0,2.0,42.0,F,2018-01-01
0,26-100,Yes,Yes,Yes,No,I don't know,I don't know,I don't know,Somewhat difficult,Physical health,Maybe,No,Maybe,No,No,7.0,6.0,,Some of my previous supervisors,Maybe,Possibly,Yes,Yes,Not applicable to me,Sometimes,No,Yes,Maybe,Maybe,No,7.0,3.0,38.0,M,2018-01-01
0,100-500,Yes,Yes,I don't know,Yes,No,No,Yes,Very easy,Same level of comfort for each,Yes,Yes,Yes,No,No,7.0,8.0,,Some of my previous supervisors,No,No,No,No,Not applicable to me,Not applicable to me,Yes,Yes,Yes,Maybe,No,8.0,3.0,39.0,M,2018-01-01
0,6-25,No,Yes,Not eligible,No,No,I don't know,I don't know,Somewhat difficult,Physical health,Maybe,No,Maybe,Yes,Yes,10.0,8.0,,"No, none of my previous supervisors",Yes,Yes,Yes,Yes,Often,Often,No,Yes,Yes,Maybe,No,7.0,1.0,21.0,M,2018-01-01
0,100-500,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Same level of comfort for each,Maybe,Yes,Yes,Yes,Yes,8.0,8.0,,Some of my previous supervisors,Maybe,Possibly,Yes,Yes,Rarely,Sometimes,No,Yes,No,No,Yes,6.0,4.0,32.0,F,2018-01-01
0,6-25,Yes,Yes,Not eligible,Yes,No,No,I don't know,I don't know,Physical health,Maybe,Yes,Yes,Yes,No,2.0,2.0,,Some of my previous supervisors,Maybe,Yes,Yes,Yes,Never,Sometimes,No,Yes,No,No,No,5.0,3.0,32.0,M,2018-01-01
0,100-500,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,Very easy,Mental health,Yes,Yes,Yes,Yes,Yes,7.0,6.0,,Some of my previous supervisors,Yes,Possibly,Yes,Yes,Rarely,Sometimes,No,Yes,Maybe,Maybe,Yes,8.0,2.0,40.0,Other,2018-01-01
1,,,,,,,,,,,,,,,,,,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Often,Often,No,Yes,Maybe,Maybe,No,7.0,4.0,35.0,M,2018-01-01
0,More than 1000,Yes,Yes,Yes,Yes,No,No,Yes,I don't know,Physical health,No,No,Maybe,No,No,3.0,0.0,,Some of my previous supervisors,Maybe,Possibly,Yes,No,Sometimes,Often,,Yes,No,Maybe,No,3.0,3.0,28.0,M,2018-01-01
0,500-1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Same level of comfort for each,Yes,Yes,Yes,Yes,Yes,3.0,6.0,,,Yes,Yes,Yes,Yes,Rarely,Often,No,Yes,Maybe,No,Yes,7.0,2.0,25.0,F,2018-01-01
0,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Physical health,No,No,No,No,No,5.0,5.0,,"No, none of my previous supervisors",No,Possibly,No,Yes,Not applicable to me,Not applicable to me,No,Yes,No,No,No,6.0,4.0,37.0,M,2018-01-01
0,100-500,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Physical health,Yes,Yes,Yes,Yes,Yes,6.0,8.0,,"No, none of my previous supervisors",Yes,Yes,Yes,,Sometimes,Often,No,Yes,Yes,Yes,No,8.0,3.0,40.0,Other,2018-01-01
0,26-100,Yes,No,I don't know,No,No,No,I don't know,Neither easy nor difficult,Physical health,Maybe,No,Maybe,Yes,No,7.0,3.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Sometimes,Often,Maybe,Yes,No,No,No,6.0,3.0,31.0,F,2018-01-01
1,,,,,,,,,,,,,,,,,,,Some of my previous supervisors,Yes,Possibly,Yes,,Sometimes,Often,No,Yes,Maybe,No,No,4.0,2.0,47.0,F,2018-01-01
0,100-500,Yes,Yes,Yes,No,No,No,I don't know,Somewhat easy,Physical health,No,Yes,Maybe,Yes,No,6.0,5.0,,I don't know,Yes,Yes,Yes,Yes,Often,Often,Maybe,Yes,Yes,No,Yes,6.0,2.0,26.0,Other,2018-01-01
0,26-100,No,Yes,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Physical health,Yes,No,No,No,Yes,6.0,5.0,,I don't know,Yes,Yes,Yes,Yes,Rarely,Sometimes,No,Yes,Maybe,No,No,5.0,3.0,27.0,F,2018-01-01
0,6-25,Yes,Yes,I don't know,Yes,No,No,No,Neither easy nor difficult,Physical health,No,No,No,No,No,5.0,5.0,,"No, none of my previous supervisors",No,Yes,Yes,No,Rarely,Sometimes,No,Yes,Yes,No,No,5.0,1.0,46.0,M,2018-01-01
0,More than 1000,Yes,Yes,Yes,Yes,I don't know,No,I don't know,I don't know,Physical health,Maybe,No,Maybe,Yes,No,6.0,5.0,,,Yes,Yes,Yes,Yes,Rarely,Sometimes,,Yes,Yes,No,No,4.0,2.0,22.0,F,2018-01-01
0,26-100,Yes,Yes,No,,No,No,I don't know,Somewhat easy,Same level of comfort for each,Maybe,No,Maybe,Yes,Yes,5.0,5.0,,"No, none of my previous supervisors",No,Yes,Yes,Yes,Rarely,Sometimes,Maybe,Yes,Maybe,Maybe,No,7.0,3.0,37.0,F,2018-01-01
0,100-500,Yes,No,Yes,Yes,Yes,Yes,I don't know,I don't know,Physical health,No,Yes,Yes,Yes,Yes,3.0,3.0,,"Yes, all of my previous supervisors",Yes,Yes,Yes,Yes,Sometimes,Often,Yes,Yes,No,No,Yes,3.0,1.0,27.0,M,2018-01-01
0,More than 1000,No,Yes,Yes,No,No,I don't know,I don't know,I don't know,Physical health,Maybe,No,Maybe,Yes,No,2.0,5.0,,"No, none of my previous supervisors",Maybe,Don't Know,No,Yes,Not applicable to me,Often,No,Yes,No,No,No,5.0,3.0,28.0,F,2018-01-01
0,100-500,Yes,Yes,Yes,Yes,Yes,No,Yes,Somewhat easy,Physical health,No,No,Maybe,No,No,7.0,4.0,,"No, none of my previous supervisors",Yes,Yes,Yes,Yes,Rarely,Often,Yes,Yes,No,No,No,6.0,2.0,32.0,F,2018-01-01
0,100-500,Yes,Yes,Yes,No,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Maybe,No,Yes,Yes,Yes,7.0,5.0,,Some of my previous supervisors,No,No,No,Yes,Not applicable to me,Not applicable to me,,Yes,Yes,Yes,No,9.0,2.0,33.0,M,2018-01-01
0,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Physical health,Maybe,Yes,Maybe,Yes,Yes,9.0,7.0,,,Yes,Yes,Yes,Yes,Sometimes,Often,Maybe,Yes,Yes,Maybe,No,9.0,4.0,27.0,F,2018-01-01
0,More than 1000,Yes,Yes,Yes,Yes,I don't know,I don't know,Yes,Somewhat easy,Physical health,Yes,No,Maybe,No,No,8.0,7.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Rarely,Often,,Yes,Maybe,Maybe,No,5.0,2.0,38.0,F,2018-01-01
1,,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",Yes,Yes,Yes,Yes,Often,Often,No,Yes,Maybe,No,No,5.0,5.0,31.0,M,2018-01-01
0,6-25,Yes,Yes,Yes,No,No,No,Yes,Very easy,Physical health,Yes,Yes,Yes,Yes,No,6.0,6.0,,"Yes, all of my previous supervisors",Yes,Yes,Yes,No,Rarely,Sometimes,No,Yes,Maybe,No,No,8.0,3.0,28.0,F,2018-01-01
0,More than 1000,No,Yes,Yes,No,Yes,Yes,I don't know,Neither easy nor difficult,Physical health,Maybe,No,Maybe,No,No,2.0,1.0,,"No, none of my previous supervisors",Maybe,Don't Know,No,,Not applicable to me,Not applicable to me,Yes,Yes,No,No,No,6.0,1.0,32.0,F,2018-01-01
0,26-100,No,Yes,No,No,No,No,Yes,Very easy,Physical health,Yes,No,No,No,No,8.0,3.0,,"No, none of my previous supervisors",Maybe,No,No,No,Rarely,Sometimes,,Yes,Yes,No,No,7.0,3.0,30.0,F,2018-01-01
0,100-500,Yes,No,Yes,Yes,No,No,I don't know,I don't know,Physical health,No,No,Maybe,Yes,Yes,8.0,4.0,,Some of my previous supervisors,Yes,Yes,Yes,No,Never,Sometimes,No,Yes,Maybe,No,No,4.0,2.0,26.0,F,2018-01-01
0,More than 1000,No,Yes,I don't know,No,Yes,Yes,I don't know,I don't know,Physical health,No,No,No,No,No,7.0,7.0,,"No, none of my previous supervisors",Maybe,Possibly,Yes,Yes,Not applicable to me,Not applicable to me,Yes,Yes,No,No,No,5.0,3.0,41.0,F,2018-01-01
0,100-500,Yes,Yes,I don't know,No,No,No,I don't know,Somewhat easy,Same level of comfort for each,Maybe,No,Maybe,No,Yes,8.0,5.0,,Some of my previous supervisors,Maybe,Don't Know,No,No,Sometimes,Sometimes,No,Yes,Maybe,No,No,8.0,2.0,39.0,F,2018-01-01
0,100-500,Yes,Yes,Yes,No,No,I don't know,I don't know,I don't know,Same level of comfort for each,Maybe,No,Yes,No,No,5.0,3.0,,Some of my previous supervisors,Maybe,Don't Know,No,,Not applicable to me,Not applicable to me,No,Yes,No,No,No,5.0,3.0,37.0,Other,2018-01-01
0,More than 1000,No,Yes,Not eligible,,I don't know,Yes,Yes,I don't know,Physical health,No,No,No,No,No,8.0,5.0,,"No, none of my previous supervisors",Maybe,No,No,,Not applicable to me,Often,Maybe,Yes,No,No,No,2.0,3.0,21.0,F,2018-01-01
1,,,,,,,,,,,,,,,,,,,Some of my previous supervisors,Maybe,Possibly,No,Yes,Not applicable to me,Not applicable to me,,,Yes,Maybe,No,4.0,2.0,38.0,M,2018-01-01
0,100-500,No,Yes,Yes,Yes,No,No,I don't know,Somewhat easy,Physical health,No,No,Yes,No,No,6.0,3.0,,Some of my previous supervisors,No,Don't Know,No,,Not applicable to me,Often,No,Yes,No,No,No,5.0,1.0,35.0,Other,2018-01-01
0,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Same level of comfort for each,No,Yes,Maybe,Yes,No,3.0,2.0,,Some of my previous supervisors,Yes,Yes,Yes,,Often,Often,No,Yes,Maybe,No,No,4.0,3.0,33.0,F,2018-01-01
0,26-100,Yes,Yes,Yes,No,No,I don't know,Yes,Somewhat easy,Physical health,No,No,No,No,No,6.0,6.0,,Some of my previous supervisors,Maybe,No,No,,Not applicable to me,Often,Maybe,,Maybe,No,No,4.0,2.0,38.0,Other,2018-01-01
0,6-25,Yes,Yes,No,,No,No,I don't know,Neither easy nor difficult,Same level of comfort for each,Maybe,No,Maybe,Yes,Yes,5.0,5.0,,,Yes,Yes,Yes,,Rarely,Sometimes,No,Yes,No,No,No,6.0,3.0,29.0,F,2018-01-01
0,500-1000,Yes,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Physical health,Maybe,No,Yes,Yes,Yes,7.0,7.0,,"No, none of my previous supervisors",Yes,No,Yes,,Sometimes,Often,No,,No,No,No,5.0,4.0,25.0,F,2018-01-01
0,100-500,Yes,Yes,I don't know,No,No,I don't know,I don't know,Somewhat easy,Physical health,No,No,Maybe,No,Yes,6.0,4.0,,Some of my previous supervisors,Maybe,Don't Know,Yes,Yes,Sometimes,Sometimes,Maybe,,No,No,No,4.0,2.0,41.0,F,2018-01-01
0,26-100,Yes,Yes,Yes,Yes,No,No,I don't know,Very easy,Same level of comfort for each,Yes,Yes,Yes,Yes,Yes,10.0,10.0,,I don't know,Yes,Yes,Yes,Yes,Sometimes,Often,,Yes,Maybe,No,Yes,10.0,3.0,37.0,F,2018-01-01
0,6-25,Yes,Yes,I don't know,No,No,No,I don't know,Somewhat easy,Physical health,Maybe,No,Maybe,No,Yes,5.0,4.0,,,Yes,Possibly,Yes,Yes,Sometimes,Often,Maybe,Yes,Maybe,No,No,4.0,2.0,29.0,M,2018-01-01
0,100-500,Yes,Yes,Yes,No,I don't know,I don't know,I don't know,Very easy,Same level of comfort for each,Yes,Yes,Yes,Yes,Yes,7.0,7.0,,"Yes, all of my previous supervisors",No,No,No,No,Not applicable to me,Not applicable to me,No,Yes,No,No,No,9.0,3.0,45.0,F,2018-01-01
0,6-25,Yes,Yes,I don't know,No,No,No,Yes,Very easy,Physical health,No,No,No,No,Yes,5.0,5.0,,"No, none of my previous supervisors",No,Don't Know,No,No,Not applicable to me,Not applicable to me,,Yes,No,No,No,3.0,2.0,45.0,Other,2018-01-01
0,100-500,Yes,Yes,Yes,No,No,Yes,Yes,Somewhat easy,Physical health,Yes,No,Yes,Yes,Yes,8.0,7.0,,Some of my previous supervisors,Maybe,Possibly,Yes,No,Rarely,Sometimes,No,Yes,Maybe,Maybe,No,6.0,2.0,45.0,F,2018-01-01
0,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Yes,Yes,Yes,Yes,Yes,6.0,8.0,,,Yes,Yes,Yes,Yes,Rarely,Often,No,Yes,Yes,Maybe,Yes,7.0,3.0,30.0,Other,2018-01-01
0,6-25,Yes,Yes,I don't know,No,No,No,I don't know,Very easy,Same level of comfort for each,Yes,No,Yes,No,Yes,10.0,10.0,,"Yes, all of my previous supervisors",No,No,No,No,Not applicable to me,Not applicable to me,No,Yes,Yes,Yes,No,10.0,3.0,27.0,M,2018-01-01
0,6-25,No,Yes,I don't know,No,No,I don't know,I don't know,Difficult,Physical health,Yes,No,Maybe,No,No,4.0,3.0,,Some of my previous supervisors,No,No,No,No,Not applicable to me,Not applicable to me,,No,Maybe,No,No,7.0,2.0,36.0,Other,2018-01-01
0,500-1000,No,No,Yes,Yes,Yes,Yes,Yes,Difficult,Physical health,No,No,Maybe,No,No,5.0,7.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Rarely,Sometimes,Maybe,Yes,Yes,Maybe,No,3.0,3.0,44.0,F,2018-01-01
0,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,I don't know,Mental health,Maybe,No,Yes,Yes,Yes,7.0,8.0,,Some of my previous supervisors,Yes,Yes,Yes,,Rarely,Sometimes,No,Yes,Maybe,Maybe,No,5.0,4.0,35.0,F,2018-01-01
0,6-25,Yes,Yes,I don't know,No,No,No,I don't know,I don't know,Same level of comfort for each,Maybe,Yes,No,No,No,5.0,5.0,,"No, none of my previous supervisors",Maybe,Possibly,No,Yes,Not applicable to me,Not applicable to me,No,Yes,No,No,Yes,3.0,1.0,42.0,Other,2018-01-01
0,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,Somewhat difficult,Physical health,No,No,No,No,No,10.0,8.0,,,Yes,Yes,Yes,Yes,Sometimes,Often,,Yes,Maybe,No,No,2.0,4.0,26.0,M,2018-01-01
1,,,,,,,,,,,,,,,,,,,Some of my previous supervisors,No,Yes,Yes,Yes,Never,Rarely,Yes,,No,No,No,9.0,3.0,33.0,F,2018-01-01
0,100-500,Yes,Yes,Yes,Yes,No,No,I don't know,Very easy,Same level of comfort for each,Yes,Yes,Yes,Yes,Yes,8.0,9.0,,Some of my previous supervisors,Maybe,Yes,Yes,Yes,Never,Rarely,No,Yes,No,No,No,5.0,4.0,25.0,Other,2018-01-01
0,More than 1000,No,Yes,Yes,Yes,No,No,I don't know,I don't know,Same level of comfort for each,Maybe,No,Maybe,No,No,7.0,4.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Rarely,Sometimes,,Yes,Maybe,No,No,8.0,2.0,36.0,F,2018-01-01
0,500-1000,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Physical health,Yes,No,No,No,Yes,7.0,6.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Rarely,Often,No,Yes,No,No,No,7.0,2.0,32.0,F,2018-01-01
0,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,Somewhat difficult,Physical health,Maybe,Yes,Maybe,Yes,Yes,2.0,4.0,,"No, none of my previous supervisors",Yes,Yes,Yes,Yes,Sometimes,Often,Yes,Yes,Maybe,No,No,3.0,1.0,29.0,F,2018-01-01
0,More than 1000,Yes,Yes,I don't know,No,Yes,Yes,Yes,Very easy,Physical health,Maybe,No,Maybe,No,Yes,5.0,5.0,,Some of my previous supervisors,No,No,No,,Not applicable to me,Not applicable to me,Yes,Yes,No,No,No,2.0,2.0,29.0,F,2018-01-01
0,26-100,Yes,Yes,Yes,No,I don't know,I don't know,Yes,Very easy,Same level of comfort for each,Yes,No,Maybe,No,No,9.0,9.0,,Some of my previous supervisors,No,Possibly,No,No,Not applicable to me,Not applicable to me,No,Yes,Yes,Maybe,No,7.0,2.0,43.0,M,2018-01-01
1,,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",Maybe,Yes,Yes,,Often,Often,,Yes,Maybe,No,No,0.0,1.0,37.0,M,2018-01-01
0,500-1000,No,Yes,No,No,Yes,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Yes,No,Yes,Yes,No,4.0,5.0,,"No, none of my previous supervisors",No,No,No,No,Not applicable to me,Not applicable to me,,Yes,Maybe,Maybe,No,6.0,4.0,26.0,M,2018-01-01
0,26-100,Yes,Yes,Yes,Yes,No,No,I don't know,Somewhat difficult,Physical health,Maybe,Yes,Maybe,No,Yes,7.0,5.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Often,Often,No,Yes,No,No,No,7.0,3.0,46.0,M,2018-01-01
1,,,,,,,,,,,,,,,,,,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Maybe,Yes,No,No,No,6.0,3.0,,Other,2018-01-01
1,,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",Maybe,Don't Know,Yes,Yes,Not applicable to me,Not applicable to me,,Yes,Maybe,No,No,5.0,3.0,37.0,M,2018-01-01
0,500-1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Yes,Yes,Yes,Yes,Yes,9.0,7.0,,"No, none of my previous supervisors",Yes,Yes,Yes,Yes,Rarely,Sometimes,No,Yes,No,No,Yes,5.0,3.0,30.0,F,2018-01-01
0,26-100,Yes,Yes,Yes,No,No,I don't know,I don't know,I don't know,Physical health,Maybe,No,Maybe,,No,6.0,3.0,,Some of my previous supervisors,Yes,Yes,Yes,,Often,Often,Maybe,Yes,Maybe,Maybe,No,5.0,2.0,36.0,M,2018-01-01
0,More than 1000,No,Yes,Yes,Yes,No,Yes,I don't know,I don't know,Same level of comfort for each,Maybe,No,Maybe,No,No,5.0,0.0,,"No, none of my previous supervisors",Yes,Yes,Yes,,Rarely,Often,Maybe,Yes,Maybe,Maybe,No,5.0,1.0,31.0,F,2018-01-01
0,6-25,Yes,Yes,Not eligible,,No,No,I don't know,Somewhat easy,Physical health,No,No,Maybe,No,No,4.0,1.0,,Some of my previous supervisors,Maybe,No,Yes,,Not applicable to me,Sometimes,,,No,No,No,6.0,1.0,42.0,M,2018-01-01
1,,,,,,,,,,,,,,,,,,,Some of my previous supervisors,No,No,No,No,Not applicable to me,Not applicable to me,,,Maybe,Maybe,No,5.0,2.0,41.0,M,2018-01-01
0,More than 1000,Yes,Yes,I don't know,No,No,I don't know,I don't know,I don't know,Same level of comfort for each,Yes,No,Yes,Yes,Yes,6.0,2.0,,"Yes, all of my previous supervisors",Maybe,Possibly,No,,Not applicable to me,Sometimes,No,Yes,Maybe,No,Yes,9.0,3.0,33.0,F,2018-01-01
0,More than 1000,No,Yes,Yes,Yes,I don't know,Yes,Yes,Difficult,Physical health,No,No,Maybe,No,No,8.0,8.0,,I don't know,Maybe,Possibly,Yes,,Sometimes,Often,,Yes,No,No,No,2.0,2.0,26.0,M,2018-01-01
0,100-500,Yes,Yes,No,No,No,No,I don't know,I don't know,Same level of comfort for each,Maybe,No,Yes,Yes,No,0.0,0.0,,Some of my previous supervisors,Maybe,Possibly,Yes,No,Sometimes,Often,No,Yes,Maybe,Maybe,No,5.0,2.0,37.0,M,2018-01-01
0,100-500,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Physical health,Yes,Yes,Yes,Yes,Yes,7.0,7.0,,Some of my previous supervisors,Yes,Yes,Yes,Yes,Often,Often,No,Yes,Maybe,Maybe,Yes,7.0,2.0,36.0,F,2018-01-01
0,26-100,Yes,Yes,Not eligible,,No,No,Yes,Very easy,Same level of comfort for each,Yes,No,Yes,No,No,10.0,10.0,,"Yes, all of my previous supervisors",No,No,No,No,Not applicable to me,Not applicable to me,,Yes,Yes,Yes,No,10.0,2.0,35.0,M,2018-01-01
0,100-500,No,Yes,I don't know,No,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Yes,No,Yes,No,No,5.0,5.0,,Some of my previous supervisors,No,No,No,No,Not applicable to me,Not applicable to me,No,Yes,Maybe,Maybe,No,5.0,4.0,45.0,M,2018-01-01
0,6-25,Yes,Yes,No,,No,No,I don't know,Very easy,Same level of comfort for each,Yes,No,Yes,No,No,10.0,10.0,,Some of my previous supervisors,Maybe,No,No,No,Not applicable to me,Not applicable to me,,Yes,Yes,No,No,10.0,5.0,23.0,M,2018-01-01
0,6-25,Yes,Yes,Yes,No,No,No,I don't know,Somewhat easy,Same level of comfort for each,Yes,No,Maybe,No,Yes,8.0,6.0,,"No, none of my previous supervisors",No,No,No,No,Not applicable to me,Not applicable to me,No,,Maybe,Maybe,No,7.0,4.0,26.0,M,2018-01-01
1,,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",Yes,Yes,Yes,No,Often,Not applicable to me,,Yes,Maybe,No,No,0.0,1.0,23.0,M,2018-01-01
0,6-25,No,Yes,No,No,No,No,I don't know,Somewhat easy,Physical health,Maybe,No,No,No,No,5.0,4.0,,I don't know,No,No,No,,Not applicable to me,Not applicable to me,No,Yes,Maybe,Maybe,No,6.0,3.0,26.0,M,2018-01-01
0,6-25,Yes,Yes,I don't know,No,No,No,Yes,Very easy,Physical health,Yes,No,Yes,No,Yes,8.0,6.0,,Some of my previous supervisors,Maybe,Possibly,No,Yes,Not applicable to me,Not applicable to me,No,Yes,Maybe,No,No,6.0,2.0,34.0,M,2018-01-01
0,6-25,Yes,Yes,Not eligible,,Yes,I don't know,Yes,Somewhat easy,Physical health,Maybe,No,Maybe,No,No,7.0,7.0,,I don't know,No,No,No,No,Not applicable to me,Not applicable to me,No,Yes,Maybe,No,No,5.0,4.0,22.0,M,2018-01-01
0,6-25,No,Yes,Yes,No,No,No,No,Difficult,Physical health,No,Yes,No,Yes,Yes,6.0,1.0,,"No, none of my previous supervisors",Maybe,Don't Know,No,,Not applicable to me,Not applicable to me,Maybe,Yes,Maybe,No,No,3.0,4.0,42.0,F,2018-01-01
